nodes,variant,protocol,rate,reachable_rate,unreachable_rate,reachable_throughput_pct,adversarial_rate,tps_median,tps_min,material_p50_ms_since_start,material_p99_ms_since_start,cpu_cores_p50,wire_mb_per_s_p50,bandwidth_efficiency_p50,estimated_non_payload_bytes_per_tx_p50,status
10,vantage,vantage,100,100,0,100.0,0,100.0,99.9,437.0,592.0,0.057,0.13,2.5397,839.5,ok
10,autobahn-optimistic-a2a,autobahn-optimistic,100,100,0,100.1,0,100.1,100.0,470.5,687.5,0.256,0.27,5.3373,2271.9,ok
10,autobahn-seamless,autobahn-seamless,100,100,0,100.0,0,100.0,99.7,709.5,994.5,0.25,0.32,6.2498,2739.1,ok
10,simpleit-optrbc,simple-it,100,100,0,100.0,0,100.0,99.9,641.5,801.5,0.057,0.29,5.6347,2424.2,ok
10,simpleit-bracha,simple-it-bracha,100,100,0,99.7,0,99.7,99.5,773.0,987.5,0.057,0.28,5.5607,2386.3,ok
10,bluestreak,starfish,100,100,0,100.1,0,100.1,100.0,463.0,626.5,0.033,0.09,1.774,447.5,ok
10,sailfish-pp,starfish,100,100,0,99.9,0,99.9,99.2,681.6,1999.2,0.066,0.16,3.1195,1136.4,ok
20,vantage,vantage,100,100,0,99.9,0,99.9,99.7,446.0,603.0,0.118,0.19,3.7735,1445.6,ok
20,autobahn-optimistic-a2a,autobahn-optimistic,100,100,0,100.0,0,100.0,99.8,484.0,699.0,0.355,0.66,12.9148,6126.0,ok
20,autobahn-seamless,autobahn-seamless,100,100,0,100.1,0,100.1,99.9,672.5,949.5,0.339,0.84,16.428,7924.7,ok
20,simpleit-optrbc,simple-it,100,100,0,99.9,0,99.9,99.6,671.0,833.0,0.098,0.89,17.4958,8471.5,ok
20,simpleit-bracha,simple-it-bracha,100,100,0,100.1,0,100.1,99.9,782.0,985.0,0.084,0.88,17.2168,8328.6,ok
20,bluestreak,starfish,100,100,0,100.4,0,100.4,99.3,467.2,629.3,0.05,0.14,2.785,939.5,ok
20,sailfish-pp,starfish,100,100,0,99.6,0,99.6,99.4,704.5,2277.5,0.213,0.47,9.1378,4192.2,ok
50,vantage,vantage,100,100,0,99.9,0,99.9,99.5,441.5,613.5,0.35,0.42,8.2786,3736.9,ok
50,autobahn-optimistic-a2a,autobahn-optimistic,100,100,0,100.2,0,100.2,99.6,489.5,694.5,0.736,3.07,59.8759,30154.7,ok
50,autobahn-seamless,autobahn-seamless,100,100,0,100.0,0,100.0,99.5,710.0,985.5,0.665,3.98,77.5754,39216.8,ok
50,simpleit-optrbc,simple-it,100,100,0,99.8,0,99.8,99.6,669.0,870.0,0.267,4.91,96.0368,48667.1,ok
50,simpleit-bracha,simple-it-bracha,100,100,0,99.9,0,99.9,99.8,777.0,976.0,0.253,4.88,95.3663,48325.8,ok
50,bluestreak,starfish,100,100,0,99.6,0,99.6,99.6,473.2,633.2,0.14,0.29,5.6728,2402.7,ok
50,sailfish-pp,starfish,100,100,0,99.9,0,99.9,99.3,766.0,1521.4,0.971,2.31,45.2406,22661.4,ok
