nodes,variant,protocol,rate,reachable_rate,unreachable_rate,reachable_throughput_pct,adversarial_rate,tps_median,tps_min,material_p50_ms_since_start,material_p99_ms_since_start,cpu_cores_p50,wire_mb_per_s_p50,bandwidth_efficiency_p50,estimated_non_payload_bytes_per_tx_p50,status
10,vantage,vantage,100,100,0,100.1,0,100.1,100.0,446.5,599.0,0.064,0.13,2.5241,831.5,ok
10,autobahn-optimistic-a2a,autobahn-optimistic,100,100,0,99.9,0,99.9,99.8,473.5,671.5,0.257,0.27,5.3585,2282.8,ok
10,autobahn-seamless,autobahn-seamless,100,100,0,100.0,0,100.0,99.7,706.5,992.0,0.244,0.32,6.3466,2788.6,ok
10,simpleit-optrbc,simple-it,100,100,0,100.1,0,100.1,99.9,641.5,831.5,0.057,0.29,5.6699,2442.2,ok
10,simpleit-bracha,simple-it-bracha,100,100,0,100.1,0,100.1,100.0,774.5,970.5,0.051,0.28,5.5404,2375.9,ok
10,bluestreak,starfish,100,100,0,100.2,0,100.2,99.3,462.8,627.4,0.025,0.09,1.7734,447.2,ok
10,sailfish-pp,starfish,100,100,0,100.1,0,100.1,100.0,681.5,1956.9,0.066,0.16,3.1163,1134.8,ok
20,vantage,vantage,100,100,0,100.0,0,100.0,99.8,440.0,590.5,0.118,0.2,3.8436,1481.5,ok
20,autobahn-optimistic-a2a,autobahn-optimistic,100,100,0,100.1,0,100.1,99.9,469.0,661.0,0.341,0.7,13.6589,6507.0,ok
20,autobahn-seamless,autobahn-seamless,100,100,0,99.9,0,99.9,99.7,739.5,1022.0,0.318,0.79,15.4689,7433.7,ok
20,simpleit-optrbc,simple-it,100,100,0,99.9,0,99.9,99.8,662.5,832.5,0.09,0.9,17.5341,8491.1,ok
20,simpleit-bracha,simple-it-bracha,100,100,0,99.9,0,99.9,99.8,781.0,978.5,0.084,0.88,17.2468,8344.0,ok
20,bluestreak,starfish,100,100,0,100.7,0,100.7,100.1,466.5,628.3,0.05,0.14,2.7847,939.4,ok
20,sailfish-pp,starfish,100,100,0,100.4,0,100.4,99.8,704.0,2267.5,0.215,0.47,9.1277,4187.0,ok
50,vantage,vantage,100,100,0,99.9,0,99.9,99.6,441.5,595.0,0.332,0.4,7.8967,3541.4,ok
50,autobahn-optimistic-a2a,autobahn-optimistic,100,100,0,99.9,0,99.9,99.6,492.5,710.0,0.725,2.98,58.2056,29299.5,ok
50,autobahn-seamless,autobahn-seamless,100,100,0,100.0,0,100.0,99.7,692.0,969.0,0.66,4.14,80.8412,40888.9,ok
50,simpleit-optrbc,simple-it,100,100,0,100.1,0,100.1,99.6,673.0,864.0,0.269,4.91,95.7044,48498.9,ok
50,simpleit-bracha,simple-it-bracha,100,100,0,99.9,0,99.9,99.6,788.0,999.5,0.254,4.88,95.395,48340.5,ok
50,bluestreak,starfish,100,100,0,100.0,0,100.0,99.6,472.7,633.5,0.14,0.29,5.6837,2408.3,ok
50,sailfish-pp,starfish,100,100,0,99.7,0,99.7,99.4,772.6,1489.5,0.955,2.31,45.1699,22625.2,ok
